430	Eriophyllum	Asteraceae	Eriophyllum	unknown	Lag. 	gen	0
431	Eupatorium	Asteraceae	Eupatorium	unknown	L. 	gen	0
434	Evax	Asteraceae	Evax	unknown	Gaertn. 	gen	0
436	Filago	Asteraceae	Filago	unknown	L. 	gen	0
438	Flaveria	Asteraceae	Flaveria	unknown	Juss. 	gen	0
444	Gamochaeta	Asteraceae	Gamochaeta	unknown	Wedd. 	gen	0
446	Gazania	Asteraceae	Gazania	unknown	Gaertn. 	gen	0
447	Geraea	Asteraceae	Geraea	unknown	Torr. & A. Gray	gen	0
449	Gnaphalium	Asteraceae	Gnaphalium	unknown	L. 	gen	0
451	Grindelia	Asteraceae	Grindelia	unknown	Willd. 	gen	0
453	Guizotia	Asteraceae	Guizotia	unknown	Cass. 	gen	0
455	Gutierrezia	Asteraceae	Gutierrezia	unknown	Lag. 	gen	0
461	Hazardia	Asteraceae	Hazardia	unknown	Greene	gen	0
462	Hecastocleis	Asteraceae	Hecastocleis	unknown	A. Gray	gen	0
464	Helenium	Asteraceae	Helenium	unknown	L. 	gen	0
465	Helianthella	Asteraceae	Helianthella	unknown	Torr. & A. Gray	gen	0
466	Helianthus	Asteraceae	Helianthus	unknown	L. 	gen	0
467	Helichrysum	Asteraceae	Helichrysum	unknown	Mill. 	gen	0
468	Heliomeris	Asteraceae	Heliomeris	unknown	Nutt. 	gen	0
470	Hemizonia	Asteraceae	Hemizonia	unknown	DC. 	gen	0
475	Heterotheca	Asteraceae	Heterotheca	unknown	Cass. 	gen	0
476	Hieracium	Asteraceae	Hieracium	unknown	L. 	gen	0
477	Holocarpha	Asteraceae	Holocarpha	unknown	Greene	gen	0
479	Hulsea	Asteraceae	Hulsea	unknown	Torr. & A. Gray	gen	0
480	Hymenoclea	Asteraceae	Hymenoclea	unknown	A. Gray	gen	0
483	Hymenoxys	Asteraceae	Hymenoxys	unknown	Cass. 	gen	0
484	Hypochaeris	Asteraceae	Hypochaeris	unknown	L. 	gen	0
487	Isocoma	Asteraceae	Isocoma	unknown	Nutt. 	gen	0
493	Lactuca	Asteraceae	Lactuca	unknown	L. 	gen	0
497	Lagophylla	Asteraceae	Lagophylla	unknown	Nutt. 	gen	0
500	Lasthenia	Asteraceae	Lasthenia	unknown	Cass. 	gen	0
502	Layia	Asteraceae	Layia	unknown	Hook. & Arn. 	gen	0
505	Leontodon	Asteraceae	Leontodon	unknown	L. 	gen	0
506	Lepidospartum	Asteraceae	Lepidospartum	A. Gray	A. Gray	gen	0
507	Lessingia	Asteraceae	Lessingia	unknown	Cham. 	gen	0
510	Leucanthemum	Asteraceae	Leucanthemum	unknown	Mill. 	gen	0
516	Machaeranthera	Asteraceae	Machaeranthera	unknown	Nees	gen	0
517	Madia	Asteraceae	Madia	unknown	Molina	gen	0
518	Malacothrix	Asteraceae	Malacothrix	unknown	DC. 	gen	0
522	Matricaria	Asteraceae	Matricaria	unknown	L. 	gen	0
526	Micropus	Asteraceae	Micropus	unknown	L. 	gen	0
527	Microseris	Asteraceae	Microseris	unknown	D. Don	gen	0
529	Monolopia	Asteraceae	Monolopia	unknown	DC. 	gen	0
530	Monoptilon	Asteraceae	Monoptilon	unknown	Torr. & A. Gray	gen	0
537	Onopordum	Asteraceae	Onopordum	unknown	L. 	gen	0
541	Osteospermum	Asteraceae	Osteospermum	unknown	L. 	gen	0
542	Palafoxia	Asteraceae	Palafoxia	unknown	Lag. 	gen	0
546	Pentachaeta	Asteraceae	Pentachaeta	unknown	Nutt. 	gen	0
549	Perityle	Asteraceae	Perityle	unknown	Benth. 	gen	0
550	Petasites	Asteraceae	Petasites	unknown	Mill. 	gen	0
563	Pluchea	Asteraceae	Pluchea	unknown	Cass. 	gen	0
566	Porophyllum	Asteraceae	Porophyllum	unknown	Adans. 	gen	0
576	Psilocarphus	Asteraceae	Psilocarphus	unknown	Nutt. 	gen	0
581	Pyrrocoma	Asteraceae	Pyrrocoma	unknown	Hook. 	gen	0
582	Rafinesquia	Asteraceae	Rafinesquia	unknown	Nutt. 	gen	0
583	Raillardella	Asteraceae	Raillardella	A. Gray	Benth. 	gen	0
586	Ratibida	Asteraceae	Ratibida	unknown	Raf. 	gen	0
592	Rudbeckia	Asteraceae	Rudbeckia	unknown	L. 	gen	0
599	Schkuhria	Asteraceae	Schkuhria	unknown	Roth	gen	0
604	Senecio	Asteraceae	Senecio	unknown	L. 	gen	0
612	Solidago	Asteraceae	Solidago	unknown	L. 	gen	0
613	Soliva	Asteraceae	Soliva	unknown	Ruiz & Pav. 	gen	0
614	Sonchus	Asteraceae	Sonchus	unknown	L. 	gen	0
619	Stephanomeria	Asteraceae	Stephanomeria	unknown	Nutt. 	gen	0
620	Stevia	Asteraceae	Stevia	unknown	Cav. 	gen	0
623	Stylocline	Asteraceae	Stylocline	unknown	Nutt. 	gen	0
628	Taraxacum	Asteraceae	Taraxacum	unknown	F. H. Wigg. 	gen	0
629	Tetradymia	Asteraceae	Tetradymia	unknown	DC. 	gen	0
641	Tragopogon	Asteraceae	Tragopogon	unknown	L. 	gen	0
653	Verbesina	Asteraceae	Verbesina	unknown	L. 	gen	0
655	Viguiera	Asteraceae	Viguiera	unknown	Kunth	gen	0
659	Wyethia	Asteraceae	Wyethia	unknown	Nutt. 	gen	0
661	Xanthium	Asteraceae	Xanthium	unknown	L. 	gen	0
663	Xylorhiza	Asteraceae	Xylorhiza	unknown	Nutt. 	gen	0
668	Acamptopappus shockleyi	Acamptopappus	shockleyi	unknown	A. Gray	sp	0
669	Acamptopappus sphaerocephalus	Acamptopappus	sphaerocephalus	A. Gray	A. Gray	sp	0
676	Achillea filipendulina	Achillea	filipendulina	unknown	Lam. 	sp	0
678	Achillea millefolium	Achillea	millefolium	unknown	L. 	sp	0
681	Achillea arenicola	Achillea	arenicola	unknown	A. Heller	sp	0
683	Achillea borealis	Achillea	borealis	unknown	Bong. 	sp	0
692	Achillea lanulosa	Achillea	lanulosa	unknown	Nutt. 	sp	0
697	Achillea pacifica	Achillea	pacifica	unknown	Rydb. 	sp	0
698	Achillea puberula	Achillea	puberula	unknown	Rydb. 	sp	0
703	Achyrachaena mollis	Achyrachaena	mollis	unknown	Schauer	sp	0
713	Acourtia microcephala	Acourtia	microcephala	unknown	DC. 	sp	0
718	Acroptilon repens	Acroptilon	repens	L. 	DC. 	sp	0
720	Centaurea repens	Centaurea	repens	unknown	L. 	sp	0
721	Adenocaulon bicolor	Adenocaulon	bicolor	unknown	Hook. 	sp	0
722	Adenophyllum cooperi	Adenophyllum	cooperi	A. Gray	Strother	sp	0
723	Dyssodia cooperi	Dyssodia	cooperi	unknown	A. Gray	sp	0
724	Adenophyllum porophylloides	Adenophyllum	porophylloides	A. Gray	Strother	sp	0
725	Dyssodia porophylloides	Dyssodia	porophylloides	unknown	A. Gray	sp	0
735	Ageratina adenophora	Ageratina	adenophora	Spreng. 	R. M. King & H. Rob. 	sp	0
736	Eupatorium adenophorum	Eupatorium	adenophorum	unknown	Spreng. 	sp	0
749	Ageratina herbacea	Ageratina	herbacea	A. Gray	R. M. King & H. Rob. 	sp	0
750	Eupatorium herbaceum	Eupatorium	herbaceum	A. Gray	Greene	sp	0
757	Ageratina occidentalis	Ageratina	occidentalis	Hook. 	R. M. King & H. Rob. 	sp	0
758	Eupatorium occidentale	Eupatorium	occidentale	unknown	Hook. 	sp	0
763	Ageratina riparia	Ageratina	riparia	Regel	R. M. King & H. Rob. 	sp	0
767	Ageratina shastensis	Ageratina	shastensis	D. W. Taylor & Stebbins	R. M. King & H. Rob. 	sp	0
768	Eupatorium shastense	Eupatorium	shastense	unknown	D. W. Taylor & Stebbins	sp	0
771	Ageratum conyzoides	Ageratum	conyzoides	unknown	L. 	sp	0
774	Ageratum houstonianum	Ageratum	houstonianum	unknown	Mill. 	sp	0
776	Agoseris apargioides	Agoseris	apargioides	Less. 	Greene	sp	0
777	Agoseris hirsuta	Agoseris	hirsuta	Hook. 	Greene	sp	0
780	Agoseris aurantiaca	Agoseris	aurantiaca	Hook. 	Greene	sp	0
783	Agoseris elata	Agoseris	elata	Nutt. 	Greene	sp	0
785	Agoseris glauca	Agoseris	glauca	Pursh	Raf. 	sp	0
789	Agoseris parviflora	Agoseris	parviflora	Nutt. 	Greene	sp	0
790	Agoseris monticola	Agoseris	monticola	unknown	Greene	sp	0
791	Agoseris grandiflora	Agoseris	grandiflora	Nutt. 	Greene	sp	0
792	Agoseris laciniata	Agoseris	laciniata	Nutt. 	Greene	sp	0
793	Agoseris plebeja	Agoseris	plebeja	Greene	Greene	sp	0
794	Agoseris heterophylla	Agoseris	heterophylla	Nutt. 	Greene	sp	0
796	Agoseris maritima	Agoseris	maritima	unknown	E. Sheld. 	sp	0
797	Agoseris retrorsa	Agoseris	retrorsa	Benth. 	Greene	sp	0
802	Amblyopappus pusillus	Amblyopappus	pusillus	unknown	Hook. & Arn. 	sp	0
803	Ambrosia acanthicarpa	Ambrosia	acanthicarpa	unknown	Hook. 	sp	0
804	Ambrosia ambrosioides	Ambrosia	ambrosioides	Cav. 	W. W. Payne	sp	0
805	Ambrosia artemisiifolia	Ambrosia	artemisiifolia	unknown	L. 	sp	0
812	Ambrosia chamissonis	Ambrosia	chamissonis	Less. 	Greene	sp	0
814	Ambrosia chenopodiifolia	Ambrosia	chenopodiifolia	Benth. 	W. W. Payne	sp	0
815	Ambrosia confertiflora	Ambrosia	confertiflora	unknown	DC. 	sp	0
822	Ambrosia deltoidea	Ambrosia	deltoidea	Torr. 	W. W. Payne	sp	0
823	Ambrosia dumosa	Ambrosia	dumosa	A. Gray	W. W. Payne	sp	0
824	Ambrosia eriocentra	Ambrosia	eriocentra	A. Gray	W. W. Payne	sp	0
828	Ambrosia ilicifolia	Ambrosia	ilicifolia	A. Gray	W. W. Payne	sp	0
832	Ambrosia pumila	Ambrosia	pumila	Nutt. 	A. Gray	sp	0
835	Ambrosia trifida	Ambrosia	trifida	unknown	L. 	sp	0
842	Amphipappus fremontii	Amphipappus	fremontii	unknown	Torr. & A. Gray	sp	0
846	Anaphalis margaritacea	Anaphalis	margaritacea	L. 	Benth. & Hook. f. 	sp	0
849	Ancistrocarphus filagineus	Ancistrocarphus	filagineus	unknown	A. Gray	sp	0
850	Stylocline filaginea	Stylocline	filaginea	A. Gray	A. Gray	sp	0
851	Anisocoma acaulis	Anisocoma	acaulis	unknown	Torr. & A. Gray	sp	0
853	Antennaria alpina	Antennaria	alpina	L. 	Gaertn. 	sp	0
884	Antennaria argentea	Antennaria	argentea	unknown	Benth. 	sp	0
889	Antennaria corymbosa	Antennaria	corymbosa	unknown	E. E. Nelson	sp	0
894	Antennaria dimorpha	Antennaria	dimorpha	Nutt. 	Torr. & A. Gray	sp	0
898	Antennaria dioica	Antennaria	dioica	L. 	Gaertn. 	sp	0
903	Antennaria flagellaris	Antennaria	flagellaris	A. Gray	A. Gray	sp	0
910	Antennaria geyeri	Antennaria	geyeri	unknown	A. Gray	sp	0
912	Antennaria howellii	Antennaria	howellii	unknown	Greene	sp	0
927	Antennaria lanata	Antennaria	lanata	Hook. 	Greene	sp	0
928	Antennaria luzuloides	Antennaria	luzuloides	unknown	Torr. & A. Gray	sp	0
929	Antennaria microcephala	Antennaria	microcephala	unknown	A. Gray	sp	0
931	Antennaria pyramidata	Antennaria	pyramidata	unknown	Greene	sp	0
932	Antennaria marginata	Antennaria	marginata	unknown	Greene	sp	0
935	Antennaria media	Antennaria	media	unknown	Greene	sp	0
939	Antennaria densa	Antennaria	densa	unknown	Greene	sp	0
943	Antennaria microphylla	Antennaria	microphylla	unknown	Rydb. 	sp	0
988	Antennaria parvifolia	Antennaria	parvifolia	unknown	Nutt. 	sp	0
1007	Antennaria pulchella	Antennaria	pulchella	unknown	Greene	sp	0
1009	Antennaria pulcherrima	Antennaria	pulcherrima	Hook. 	Greene	sp	0
1010	Antennaria racemosa	Antennaria	racemosa	unknown	Hook. 	sp	0
1014	Antennaria rosea	Antennaria	rosea	unknown	Greene	sp	0
1018	Antennaria angustifolia	Antennaria	angustifolia	unknown	Rydb. 	sp	0
1038	Antennaria pulvinata	Antennaria	pulvinata	unknown	Greene	sp	0
1049	Antennaria speciosa	Antennaria	speciosa	unknown	Greene	sp	0
1056	Antennaria stenophylla	Antennaria	stenophylla	unknown	A. Gray	sp	0
1058	Antennaria suffrutescens	Antennaria	suffrutescens	unknown	Greene	sp	0
1059	Antennaria umbrinella	Antennaria	umbrinella	unknown	Rydb. 	sp	0
1066	Anthemis arvensis	Anthemis	arvensis	unknown	L. 	sp	0
1067	Anthemis cotula	Anthemis	cotula	unknown	L. 	sp	0
1069	Anthemis tinctoria	Anthemis	tinctoria	unknown	L. 	sp	0
1070	Antheropeas lanosum	Antheropeas	lanosum	A. Gray	Rydb. 	sp	0
1071	Eriophyllum lanosum	Eriophyllum	lanosum	A. Gray	A. Gray	sp	0
1072	Antheropeas wallacei	Antheropeas	wallacei	A. Gray	Rydb. 	sp	0
1073	Eriophyllum wallacei	Eriophyllum	wallacei	A. Gray	A. Gray	sp	0
1082	Arctium lappa	Arctium	lappa	unknown	L. 	sp	0
1083	Arctium minus	Arctium	minus	unknown	Bernh. 	sp	0
1089	Arctotis stoechadifolia	Arctotis	stoechadifolia	unknown	P. J. Bergius	sp	0
1090	Arctotis grandis	Arctotis	grandis	unknown	Thunb. 	sp	0
1106	Arnica amplexicaulis	Arnica	amplexicaulis	unknown	Nutt. 	sp	0
1107	Arnica amplexifolia	Arnica	amplexifolia	unknown	Rydb. 	sp	0
1113	Arnica cernua	Arnica	cernua	unknown	Howell	sp	0
1114	Arnica chandleri	Arnica	chandleri	unknown	Rydb. 	sp	0
1115	Arnica chamissonis	Arnica	chamissonis	unknown	Less. 	sp	0
1116	Arnica foliosa	Arnica	foliosa	unknown	Nutt. 	sp	0
1117	Arnica bernardina	Arnica	bernardina	unknown	Greene	sp	0
1118	Arnica cordifolia	Arnica	cordifolia	unknown	Hook. 	sp	0
1123	Arnica discoidea	Arnica	discoidea	unknown	Benth. 	sp	0
1125	Arnica parviflora	Arnica	parviflora	unknown	A. Gray	sp	0
1130	Arnica fulgens	Arnica	fulgens	unknown	Pursh	sp	0
1132	Arnica lanceolata	Arnica	lanceolata	unknown	Nutt. 	sp	0
1133	Arnica latifolia	Arnica	latifolia	unknown	Bong. 	sp	0
1139	Arnica longifolia	Arnica	longifolia	unknown	D. C. Eaton	sp	0
1141	Arnica mollis	Arnica	mollis	unknown	Hook. 	sp	0
1142	Arnica nevadensis	Arnica	nevadensis	unknown	A. Gray	sp	0
1143	Arnica tomentella	Arnica	tomentella	unknown	Greene	sp	0
1144	Arnica parryi	Arnica	parryi	unknown	A. Gray	sp	0
1148	Arnica sororia	Arnica	sororia	unknown	Greene	sp	0
1149	Arnica spathulata	Arnica	spathulata	unknown	Greene	sp	0
1152	Arnica venosa	Arnica	venosa	unknown	H. M. Hall	sp	0
1153	Arnica viscosa	Arnica	viscosa	unknown	A. Gray	sp	0
1156	Artemisia abrotanum	Artemisia	abrotanum	unknown	L. 	sp	0
1158	Artemisia absinthium	Artemisia	absinthium	unknown	L. 	sp	0
1162	Artemisia annua	Artemisia	annua	unknown	L. 	sp	0
1163	Artemisia arbuscula	Artemisia	arbuscula	unknown	Nutt. 	sp	0
1169	Artemisia biennis	Artemisia	biennis	unknown	Willd. 	sp	0
1170	Artemisia bigelovii	Artemisia	bigelovii	unknown	A. Gray	sp	0
1171	Artemisia californica	Artemisia	californica	unknown	Less. 	sp	0
1172	Artemisia campestris	Artemisia	campestris	unknown	L. 	sp	0
1182	Artemisia cana	Artemisia	cana	unknown	Pursh	sp	0
1183	Artemisia bolanderi	Artemisia	bolanderi	unknown	A. Gray	sp	0
1187	Artemisia douglasiana	Artemisia	douglasiana	unknown	Besser	sp	0
1188	Artemisia dracunculus	Artemisia	dracunculus	unknown	L. 	sp	0
1189	Artemisia dracunculoides	Artemisia	dracunculoides	unknown	Pursh	sp	0
1194	Artemisia furcata	Artemisia	furcata	unknown	M. Bieb. 	sp	0
1197	Artemisia heterophylla	Artemisia	heterophylla	unknown	Besser	sp	0
1206	Artemisia lindleyana	Artemisia	lindleyana	unknown	Besser	sp	0
1209	Artemisia ludoviciana	Artemisia	ludoviciana	unknown	Nutt. 	sp	0
1223	Artemisia michauxiana	Artemisia	michauxiana	unknown	Besser	sp	0
1225	Artemisia nesiotica	Artemisia	nesiotica	unknown	P. H. Raven	sp	0
1226	Artemisia nova	Artemisia	nova	unknown	A. Nelson	sp	0
1228	Artemisia palmeri	Artemisia	palmeri	unknown	A. Gray	sp	0
1235	Artemisia pycnocephala	Artemisia	pycnocephala	Less. 	DC. 	sp	0
1238	Artemisia rothrockii	Artemisia	rothrockii	unknown	A. Gray	sp	0
1243	Artemisia spinescens	Artemisia	spinescens	unknown	D. C. Eaton	sp	0
1245	Artemisia suksdorfii	Artemisia	suksdorfii	unknown	Piper	sp	0
1249	Artemisia tridentata	Artemisia	tridentata	unknown	Nutt. 	sp	0
1250	Artemisia spiciformis	Artemisia	spiciformis	unknown	Osterh. 	sp	0
1252	Artemisia vaseyana	Artemisia	vaseyana	unknown	Rydb. 	sp	0
1253	Artemisia tripartita	Artemisia	tripartita	unknown	Rydb. 	sp	0
1257	Artemisia vulgaris	Artemisia	vulgaris	unknown	L. 	sp	0
1261	Aster alpigenus	Aster	alpigenus	Torr. & A. Gray	A. Gray	sp	0
1262	Aster andersonii	Aster	andersonii	A. Gray	A. Gray	sp	0
1263	Erigeron andersonii	Erigeron	andersonii	unknown	A. Gray	sp	0
1268	Aster ascendens	Aster	ascendens	unknown	Lindl. 	sp	0
1273	Aster behringensis	Aster	behringensis	unknown	Gand. 	sp	0
1280	Aster X bracteolatus	Aster	bracteolatus	unknown	Nutt. 	sp	1
1281	Aster breweri	Aster	breweri	A. Gray	Semple	sp	0
1282	Chrysopsis breweri	Chrysopsis	breweri	unknown	A. Gray	sp	0
1284	Chrysopsis wrightii	Chrysopsis	wrightii	unknown	A. Gray	sp	0
1286	Aster brickellioides	Aster	brickellioides	unknown	Greene	sp	0
1289	Aster campestris	Aster	campestris	unknown	Nutt. 	sp	0
1293	Aster chilensis	Aster	chilensis	unknown	Nees	sp	0
1295	Aster sonomensis	Aster	sonomensis	unknown	Greene	sp	0
1314	Aster defoliatus	Aster	defoliatus	unknown	Parish	sp	0
1315	Aster bernardinus	Aster	bernardinus	unknown	H. M. Hall	sp	0
1316	Aster deserticola	Aster	deserticola	unknown	J. F. Macbr. 	sp	0
1334	Aster eatonii	Aster	eatonii	A. Gray	Howell	sp	0
1337	Aster elatus	Aster	elatus	Greene	Cronquist	sp	0
1338	Aster engelmannii	Aster	engelmannii	D. C. Eaton	A. Gray	sp	0
1348	Aster commutatus	Aster	commutatus	Torr. & A. Gray	A. Gray	sp	0
