#Format: name[tab]putative accepted name[tab]note

#The following are ILLEG. names with the eFlora accepted names
#Names extracted from the Notes field of the eFlora, many false positives, are culled from this output by make_synonymy_table.pl
#ILLEG homonyms are commented out
Silene montana subsp. montana	Silene bernardina	ILLEG in EFLORA
Silene montana var. rigidula	Silene bernardina	ILLEG in EFLORA
Silene montana var. sierrae	Silene bernardina	ILLEG in EFLORA
Sisyrinchium grandiflorum	Olsynium douglasii var. douglasii	ILLEG in EFLORA
Triteleia gracilis	Triteleia montana	ILLEG in EFLORA
Valeriana scouleri	Valeriana sitchensis subsp. scouleri	ILLEG in EFLORA
Viola chrysantha	Viola douglasii	ILLEG in EFLORA
Viola deltoidea	Viola glabella	ILLEG in EFLORA
Viola sarmentosa	Viola sempervirens	ILLEG in EFLORA
Yucca graminifolia	Hesperoyucca whipplei	ILLEG in EFLORA


#The following are IN ED. names with putative eFlora accepted names
#Names extracted from the Notes field of the eFlora, many false positives, are culled from this output by make_synonymy_table.pl
#The following are IN ED. names with putative eFlora accepted names
Allium monticola var. keckii	Allium monticola	INED in EFLORA
Amsinckia menziesii var. intermedia	Amsinckia intermedia	INED in EFLORA
Argyrochosma limitanea var. limitanea	Argyrochosma limitanea subsp. limitanea	INED in EFLORA
Caulanthus heterophyllus var. pseudosimulans	Caulanthus heterophyllus	INED in EFLORA
Cistus villosus var. corsicus	Cistus incanus	INED in EFLORA
Cistus villosus var. tauricus	Cistus incanus	INED in EFLORA
Cistus villosus var. undulatus	Cistus incanus	INED in EFLORA
Citrullus colocynthis var. lanatus	Citrullus lanatus var. citroides	INED in EFLORA
Cuscuta vivipara	Cuscuta nevadensis	UNABR INED in EFLORA
Dodecatheon pulchellum subsp. monanthum	Primula pauciflora	INED in EFLORA
Erysimum capitatum subsp. angustatum	Erysimum capitatum var. capitatum	INED in EFLORA
Erysimum capitatum subsp. capitatum	Erysimum capitatum var. capitatum	INED in EFLORA
Erysimum capitatum subsp. lompocense	Erysimum capitatum var. capitatum	INED in EFLORA
Erysimum capitatum subsp. perenne	Erysimum perenne	INED in EFLORA
Erysimum insulare subsp. suffrutescens	Erysimum suffrutescens	INED in EFLORA
Erysimum menziesii subsp. concinnum	Erysimum concinnum	INED in EFLORA
Erysimum menziesii subsp. eurekense	Erysimum menziesii	INED in EFLORA
Erysimum menziesii subsp. yadonii	Erysimum menziesii	INED in EFLORA
Fritillaria affinis var. tristulis	Fritillaria affinis	INED in EFLORA
Guillenia lemmonii	Caulanthus anceps	INED in EFLORA
Juncus effusus var. australis	Juncus effusus subsp. austrocalifornicus	INED in EFLORA
Malva assurgentiflora subsp. assurgentiflora	Malva assurgentiflora	INED in EFLORA
Malva assurgentiflora subsp. glabra	Malva assurgentiflora	INED in EFLORA
Microsteris gracilis subsp. humilior	Microsteris gracilis	INED in EFLORA
Plagiobothrys myosotoides subsp. verrucosus	Plagiobothrys verrucosus	INED in EFLORA
Pseudobahia bahiifolia var. pinnatifida	Pseudobahia heermannii	INED in EFLORA
Quercus celata	Quercus parvula var. shrevei	INED in EFLORA
Rhamnus tomentella var. ursina	Frangula californica subsp. ursina	INED in EFLORA
Ruppia spiralis	Ruppia cirrhosa	INED in EFLORA
Sedum paradisum	Sedum obtusatum subsp. paradisum	INED in EFLORA
Senna eremophila	Senna artemisioides	INED in EFLORA
Triteleia grandiflora subsp. howellii	Triteleia grandiflora	INED in EFLORA


#The following are INVALID names, NIEF, from CCH1
X Chiranthofremontia lenzii	X Chiranthomontodendron lenzii	INVALID in TROPICOS
Chiranthofremontia lenzii	X Chiranthomontodendron lenzii		INVALID in TROPICOS
X Chiranthofremontia	X Chiranthomontodendron		INVALID in TROPICOS

#The following are INVALID names with putative eFlora accepted names
#Callitropsis nootkatensis	Callitropsis nootkatensis	INVALID in EFLORA
Packera streptanthifolia var. rubricaulis	Packera streptanthifolia var. streptanthifolia	INVALID in EFLORA
Toxicodendron triphyllum var. trilobatum	Rhus aromatica	INVALID in EFLORA
Sanguisorba occidentalis	Poteridium annuum	INVALID in EFLORA


#misapplied names, missing from ICPN and eFlora accepted names or synonyms, 
#some updated from TO ADD file from REV_nomsyn_file_V2.pl
#others added manually
Triticum elongatum	Elymus ponticus	synonym of misapplied name
#Grindelia camporum var. parviflora	Grindelia hirsutula
#Grindelia robusta	Grindelia hirsutula
Chamaesyce dendroides	Euphorbia dendroides	JFP 2b, unpublished, invalidly published, illegitimate, or rejected name for taxon naturalized in CA
Bulbostylis microphylla	Brickellia microphylla var. microphylla	the genus Bulbostylis DC is Illeg.
Stachys ajugoides var. cymosa	Stachys pycnantha	nomen inval. sensu IPNI
Agrostis exarata var. ampla	Agrostis exarata



#The following are SUPERFLUOUS names with putative eFlora accepted names
Carex oregonensis	Carex halliana	SUPERFLUOUS in EFLORA
Ceanothus arboreus var. glabra	Ceanothus arboreus	SUPERFLUOUS in EFLORA
Ceanothus velutinus var. hookeri	Ceanothus velutinus	SUPERFLUOUS in EFLORA
Chylismia heterochroma	Chylismia heterochroma	SUPERFLUOUS in EFLORA
Cupressus goveniana subsp. pygmaea	Hesperocyparis pygmaea	SUPERFLUOUS in EFLORA
Lonicera hispidula var. californica	Lonicera hispidula	SUPERFLUOUS in EFLORA
Malva dendromorpha	Malva arborea	SUPERFLUOUS in EFLORA
Malva linnaei	Malva pseudolavatera	SUPERFLUOUS in EFLORA
Plantago indica	Plantago arenaria	SUPERFLUOUS in EFLORA
Wolffia punctata	Wolffia borealis	UNABR SUPERFLUOUS in EFLORA
