#This file is separated into three sections, each titled starting with a "#".
#The first are general spelling variants that need to be altered in CCH to match the eFlora variants
#Others are names that will likely be adopted by the eFlora in the future because the accepted spelling is not official
#according to the international code.
#The second section are name variant with and without hypens. Many compound names with hypens are no longer accepted by the international code.
#The last section are names where the suffix has changed due to a change in the recognition of a genus name gender (for example Nama demissum ==> Nama demissa)

#Format: orthographic variant[tab]accepted name[tab]where orthographic used (optional if known)
#nothospecies variants
Elyhordeum californicum	X Elyhordeum californicum
Myrtgerocactus lindsayi	X Myrtgerocactus lindsayi
Pachgerocereus orcuttii	X Pachgerocereus orcuttii
Diplacus lompocensis	Diplacus X lompocensis	ICPN has a conflict, no accepted names for the hybrid name, but either Mimulus aurantiacus subsp. lompocensis or Diplacus &times;lompocensis for other synonyms
Hypericum moserianum	Hypericum x moserianum
Linnaea grandiflora	Linnaea X grandiflora
Lolium elongatum	Lolium X elongatum


#spelling variants
#Ribes nevadense	Ribes nevadaense	TROPICOS, keep this null, JEP recognizes nevadense
#Ribes nevadense var. nevadense	Ribes nevadaense var. nevadaense	TROPICOS, keep this null, JEP recognizes nevadense
Ribes nevadaensis	Ribes nevadaense	original spelling by Kellogg, not used, TROPICOS
Ribes nevadaensis var. nevadaensis	Ribes nevadaense var. nevadaense	original spelling by Kellogg, not used, TROPICOS
Agoseris plebeia	Agoseris plebeia	Agoseris plebeja Kuntze is unresolved and not to be considered a orth. var of Agoseris plebeia (Greene) Greene
Agoseris plebeja	Agoseris plebeja	Agoseris plebeja Kuntze is unresolved and not to be considered a orth. var of Agoseris plebeia (Greene) Greene
Aira major subsp. cespitosa	Aira major subsp. caespitosa	TROPICOS
Allium diabloense	Allium diabolense	JM
Amauria brandegeana	Amauria brandegeeana
Amsinckia spectabilis var. nicolai	Amsinckia spectabilis var. sancti-nicolai	TROPICOS
Anagallis arvensis var. coerulea	Anagallis arvensis var. caerulea
Aplopappus bloomeri	Haplopappus bloomeri
Aplopappus linearifolius	Haplopappus linearifolius
Aplopappus sphaerocephalus	Haplopappus sphaerocephalus
Arabis blepharophylla var. macdonaldiana	Arabis blepharophylla var. mcdonaldiana	TROPICOS
Argythamnia clariana	Argythamnia claryana
Aster adscendens	Aster ascendens
Aster adscendens var. delectabilis	Aster ascendens var. delectabilis
Aster greatai	Aster greatae
Aster greatei	Aster greatae
Astragalus clarianus	Astragalus claranus	JM
Astragalus mojavensis	Astragalus mohavensis
Astragalus mojavensis var. hemigyrus	Astragalus mohavensis var. hemigyrus
Astragalus mojavensis var. mojavensis	Astragalus mohavensis var. mohavensis
Astragalus oophorous	Astragalus oophorus	JM
Ataenia lemmonii	Atenia lemmonii
Atriplex joaquiniana	Atriplex joaquinana
Bahia artemisiaefolia	Bahia artemisiifolia
Bahia artemisiaefolia var. artemisiaefolia	Bahia artemisiifolia var. artemisiifolia
Bahia artemisiaefolia var. douglasii	Bahia artemisiifolia var. douglasii
Bahia artimisiaefolia	Bahia artemisiifolia
Bahia artimisiaefolia var. artimisiaefolia	Bahia artemisiifolia var. artemisiifolia
Bahia artimisiaefolia var. douglasii	Bahia artemisiifolia var. douglasii
Bernardia myricaefolia	Bernardia myricifolia
Bicuculla chrysantha	Bikukulla chrysantha
Bidens leucantha	Bidens leucanthema	TROPICOS
Bidens leucantha f. discoidea	Bidens leucanthema f. discoidea	TROPICOS
Bidens leucantha var. leucantha	Bidens leucanthema var. leucanthema	TROPICOS
Bidens leucantha var. pilosa	Bidens leucanthema var. pilosa	TROPICOS
Bidens leucantha var. sundaica	Bidens leucanthema var. sundaica	TROPICOS
Bigelovia acradenia	Bigelowia acradenia
Bigelovia arborescens	Bigelowia arborescens
Bigelovia brachylepis	Bigelowia brachylepis
Bigelovia intricata	Bigelowia intricata
Bigelovia menziesii	Bigelowia menziesii
Bigelovia vaseyi	Bigelowia vaseyi
Bikukulla ochroleuca	Bicuculla ochroleuca
Bikukulla uniflora	Bicuculla uniflora
Blitum nuttalianum	Blitum nuttallianum
Bromus brizaeformis	Bromus briziformis	TROPICOS
Calceolaria scabiosaefolia	Calceolaria scabiosifolia
Callitropsis pygmaea	Callitropsis pigmaea
Calochortus caeruleus	Calochortus coeruleus
Calochortus caeruleus var. caeruleus	Calochortus coeruleus var. coeruleus
Calochortus caeruleus var. fimbriatus	Calochortus coeruleus var. fimbriatus
Calochortus caeruleus var. maweanus	Calochortus coeruleus var. maweanus
Calochortus caeruleus var. nanus	Calochortus coeruleus var. nanus
Calochortus caeruleus var. westonii	Calochortus coeruleus var. westonii
Camissonia clavaeformis	Camissonia claviformis
Camissonia clavaeformis subsp. aurantiaca	Camissonia claviformis subsp. aurantiaca
Camissonia clavaeformis subsp. auranticaca	Camissonia claviformis subsp. aurantiaca
Camissonia clavaeformis subsp. clavaeformis	Camissonia claviformis subsp. claviformis
Camissonia clavaeformis subsp. cruciformis	Camissonia claviformis subsp. cruciformis
Camissonia clavaeformis subsp. funerea	Camissonia claviformis subsp. funerea
Camissonia clavaeformis subsp. integrior	Camissonia claviformis subsp. integrior
Camissonia clavaeformis subsp. lancifolia	Camissonia claviformis subsp. lancifolia
Camissonia clavaeformis subsp. yumae	Camissonia claviformis subsp. yumae
Camissonia clavaeformis var. aurantiaca	Camissonia claviformis var. aurantiaca
Camissonia clavaeformis var. clavaeformis	Camissonia claviformis var. claviformis
Camissonia clavaeformis var. cruciformis	Camissonia claviformis var. cruciformis
Camissonia clavaeformis var. funerea	Camissonia claviformis var. funerea
Camissonia clavaeformis var. lancifolia	Camissonia claviformis var. lancifolia
