
#old file list pre-2018 CCH1 alter names
#Sidalcea malviflora var. sparsifolia	Sidalcea malviflora subsp. sparsifolia	NO VAR COMB for sparsifolia; TROPICOS; ICPN indicates this var. is published, leave in but comment out now
Adolfia californica	Adolphia californica
Aeculus californica	Aesculus californica
Aegilops trincialis	Aegilops triuncialis
Aegilops triuncialus	Aegilops triuncialis
Aegilops truncialis	Aegilops triuncialis
Aegochloa cotulaefolia	Aegochloa cotulifolia
Aesculus california	Aesculus californica
Aesculus Californica	Aesculus californica
Aesculus californicus	Aesculus californica
Aesculus parryl	Aesculus parryi
Agastache uricifolia	Agastache urticifolia
Agave lecheguilla	Agave lechuguilla
Ageratina adenophorum	Ageratina adenophora
Ageratina adeonophora	Ageratina adenophora
Ageratina herbaceum	Ageratina herbacea
Ageratina occidentale	Ageratina occidentalis
Agertina adenophora	Ageratina adenophora
Agertina herbacea	Ageratina herbacea
Agertina occidentalis	Ageratina occidentalis
Agopyron dasystachyum	Agropyron dasystachyum
Agoseria heterophylla var. cryptopleura	Agoseris heterophylla var. cryptopleura
Agoseris _ dasycarpa	Agoseris X dasycarpa
Agoseris Ã— dasycarpa	Agoseris X dasycarpa
Agoseris × dasycarpa	Agoseris X dasycarpa
Agoseris apargioides subsp.	Agoseris apargioides
Agoseris apargioides subsp. eastwoodae	Agoseris apargioides var. eastwoodiae	NO SUBSP COMB for eastwoodiae; TROPICOS
Agoseris glauca f. monticola	Agoseris glauca var. monticola	NO FORMA COMB FOR monticola; TROPICOS
Agoseris grandiflora subsp. grandiflora	Agoseris grandiflora var. grandiflora	NO SUBSP COMB for grandiflora; TROPICOS
Agoseris grandiflora var. grandiflora (bernardinense phase)	Agoseris grandiflora var. grandiflora
Agoseris grandiflora var. grandiflora (cinerea phase)	Agoseris grandiflora var. grandiflora
Agoseris grandiflorum	Agoseris grandiflora
Agoseris grandilfora var. grandiflora	Agoseris grandiflora var. grandiflora
Agoseris hererophylla	Agoseris heterophylla
Agoseris heterophylla var. crytopleura	Agoseris heterophylla var. cryptopleura
Agoseris plauca subsp. laciniata	Agoseris glauca var. laciniata	NO SUBSP COMB FOR laciniata; TROPICOS
Agoseris plauca var. laciniata	Agoseris glauca var. laciniata
Agoseris retrosa	Agoseris retrorsa
Agoseris x dasycarpa	Agoseris X dasycarpa
Agoseris x elata	Agoseris X elata
Agrimonia gyrosepala	Agrimonia gryposepala
Agropogon desertorum	Agropyron desertorum
Agropogon repens	Agropyron repens
Agropyron arenicolum	Agropyron arenicola
Agropyron gmelini var. pringlei	Agropyron gmelinii var. pringlei
Agroseris elata	Agoseris elata
Agroseris grandiflora	Agoseris grandiflora
Agroseris heterophylla	Agoseris heterophylla
Agrosis idahoensis	Agrostis idahoensis
Agrostis clavicola var. punta-reyesensis	Agrostis clivicola var. punta-reyesensis
Agrostis densiflora var. punta-reyensis	Agrostis clivicola var. punta-reyesensis
Agrostis densiflora var. punta-reyesensis	Agrostis clivicola var. punta-reyesensis
Agrostis exarata f. monolepis	Agrostis exarata var. monolepis	NO FORMA COMB FOR monolepis; TROPICOS
Agrostis exarta	Agrostis exarata
Agrostis exerata	Agrostis exarata
Agrostis halii	Agrostis hallii
Agrostis Hallii Vasey	Agrostis hallii
Agrostis hiemalis	Agrostis hyemalis
Agrostis humulis	Agrostis humilis
Agrostis idohoensis	Agrostis idahoensis
Agrostis tandelensis	Agrostis tandilensis
Agrostis variablilis	Agrostis variabilis
Agrostis ventricosum	Agrostis ventricosa
Agrostis willd.	Agrostis
Agrostis x idahoensis	Agrostis idahoensis
Agrostis[ exarata	Agrostis exarata
Agrostris scabra	Agrostis scabra
Ailanthus altissimus	Ailanthus altissima
Aira caryophylla	Aira caryophyllea
Aira danthanoides	Aira danthonioides
Aira danthonoides	Aira danthonioides
Albizia julibrissan	Albizia julibrissin
Aleopecurus saccatus	Alopecurus saccatus
Aliciella sp.	Aliciella
Aliciella sp. nov. # 1	Aliciella
Aliciella undescr.	Aliciella
Aliciella undescr. sp. nov. # 2	Aliciella
Aliciellasp.nov.#1	Aliciella
Aliciellaundescr.sp.nov.#2	Aliciella
Aliciellia sp.	Aliciella
Alicielliaundescr.sp.nov.#2	Aliciella
Alisma trivale	Alisma triviale
Alismaq triviale	Alisma triviale
Allionia jumila	Allionia pumila
Allium _obtusum var. obtusum	Allium obtusum var. obtusum
Allium amplectans	Allium amplectens
Allium atrorubens subsp. inyoensis	Allium atrorubens subsp. inyonis
Allium atrorubens var. inyoensis	Allium atrorubens var. inyonis
Allium bisceptum var. utahense	Allium bisceptrum var. utahense
Allium biseptrum	Allium bisceptrum
Allium bullardii	Allium bullardiae
Allium burleweii	Allium burlewii
Allium burlweii	Allium burlewii
Allium campanulaturm	Allium campanulatum
Allium cratoricula	Allium cratericola
Allium diabloensis	Allium diabolense
Allium fibriatum	Allium fimbriatum
Allium fimbratum	Allium fimbriatum
Allium fimbriatum subsp. fimbrtiatum	Allium fimbriatum subsp. fimbriatum
Allium fimbriatum var. fimbrtiatum	Allium fimbriatum var. fimbriatum
Allium fimbriatum var. mohavensis	Allium fimbriatum var. mohavense
Allium hickmannii	Allium hickmanii
Allium howellii subvar. clokeyi	Allium howellii var. clokeyi
Allium hyalinus	Allium hyalinum
Allium lacunosum var. kernensis	Allium lacunosum var. kernense
Allium neopolitanum	Allium neapolitanum
Allium obtusum var. conspicumm	Allium obtusum var. conspicuum
Allium sanborbi	Allium sanbornii
Allium sp.	Allium
Allium validium	Allium validum
Allium` parryi	Allium parryi
Allocarpa stipitata	Allocarya stipitata
Allocarpa tenera	Allocarya tenera
Allocarya charisiana	Allocarya chorisiana
Allophyllum gilliodes	Allophyllum gilioides
Allophylum divaricatum	Allophyllum divaricatum
Allophylum gilioides subsp. violaceum	Allophyllum gilioides subsp. violaceum
Alnus rhombiflia	Alnus rhombifolia
Alnus rhombifolia2	Alnus rhombifolia
Alnus thombifolia	Alnus rhombifolia
Aloe Xschonlandii	Aloe X schoenlandii
Alopecuras	Alopecurus
Alopecuras aequalis	Alopecurus aequalis
Alopecuras geniculatus	Alopecurus geniculatus
Alopecuras howellii	Alopecurus howellii
Alopecuras pratensis	Alopecurus pratensis
Alopecuras saccatus	Alopecurus saccatus
Alopecuris saccatus	Alopecurus saccatus
Alopecuropsis saccatus	Alopecurus saccatus
Alopecurus aegqalis var. sonomensis	Alopecurus aequalis var. sonomensis
Alopecurus pratenis	Alopecurus pratensis
Althea rosea	Althaea rosea
Amaranthus biltoides	Amaranthus blitoides
Amaranthus blitoides var. reverchoni	Amaranthus blitoides var. reverchonii
Amaranthus powelii	Amaranthus powellii
Amaranthus retroflexux	Amaranthus retroflexus
Amaranthus viridus	Amaranthus viridis
Amarnthus graecizans	Amaranthus graecizans
